                                     Moon                                     
     
            Topocentric Physical Ephemeris: Illumination Parameters           
     
                         David Rittenhouse Laboratory                         
                Location:  W 75°11'20.4", N39°57'08.1",    12m                
                  (Longitude referred to Greenwich meridian)                  
     
   Date        Time             Phase     Fraction                       Semi-
         (UT1)                  Angle    Illuminated    Parallax       diameter
             h  m   s             °                      '   "          '   "
2014 Jun 28 09:50:00.0         166.20       0.014       53 09.12       14 45.22
2014 Jun 28 09:55:00.0         166.16       0.015       53 17.60       14 45.39
2014 Jun 28 10:00:00.0         166.12       0.015       53 25.58       14 45.57
2014 Jun 28 10:05:00.0         166.08       0.015       53 33.03       14 45.74
2014 Jun 28 10:10:00.0         166.04       0.015       53 39.93       14 45.92
2014 Jun 28 10:15:00.0         166.00       0.015       53 46.26       14 46.10
2014 Jun 28 10:20:00.0         165.96       0.015       53 52.00       14 46.29
2014 Jun 28 10:25:00.0         165.93       0.015       53 57.12       14 46.47
2014 Jun 28 10:30:00.0         165.89       0.015       54 01.62       14 46.66
2014 Jun 28 10:35:00.0         165.85       0.015       54 05.48       14 46.84
2014 Jun 28 10:40:00.0         165.81       0.015       54 08.68       14 47.03
2014 Jun 28 10:45:00.0         165.77       0.015       54 11.20       14 47.23
2014 Jun 28 10:50:00.0         165.74       0.015       54 13.03       14 47.42
2014 Jun 28 10:55:00.0         165.70       0.015       54 14.15       14 47.61
2014 Jun 28 11:00:00.0         165.66       0.016       54 14.55       14 47.81
2014 Jun 28 11:05:00.0         165.62       0.016       54 14.22       14 48.01
2014 Jun 28 11:10:00.0         165.59       0.016       54 13.15       14 48.21
2014 Jun 28 11:15:00.0         165.55       0.016       54 11.32       14 48.40
2014 Jun 28 11:20:00.0         165.52       0.016       54 08.73       14 48.61
2014 Jun 28 11:25:00.0         165.48       0.016       54 05.35       14 48.81
2014 Jun 28 11:30:00.0         165.44       0.016       54 01.20       14 49.01
2014 Jun 28 11:35:00.0         165.41       0.016       53 56.24       14 49.21
2014 Jun 28 11:40:00.0         165.37       0.016       53 50.49       14 49.41
2014 Jun 28 11:45:00.0         165.34       0.016       53 43.93       14 49.62
2014 Jun 28 11:50:00.0         165.30       0.016       53 36.55       14 49.82
2014 Jun 28 11:55:00.0         165.27       0.016       53 28.35       14 50.03
2014 Jun 28 12:00:00.0         165.24       0.017       53 19.32       14 50.23
2014 Jun 28 12:05:00.0         165.20       0.017       53 09.47       14 50.44
2014 Jun 28 12:10:00.0         165.17       0.017       52 58.78       14 50.64
2014 Jun 28 12:15:00.0         165.14       0.017       52 47.26       14 50.85
2014 Jun 28 12:20:00.0         165.10       0.017       52 34.89       14 51.05
2014 Jun 28 12:25:00.0         165.07       0.017       52 21.69       14 51.26
2014 Jun 28 12:30:00.0         165.04       0.017       52 07.66       14 51.46
2014 Jun 28 12:35:00.0         165.01       0.017       51 52.78       14 51.66
2014 Jun 28 12:40:00.0         164.97       0.017       51 37.06       14 51.87
2014 Jun 28 12:45:00.0         164.94       0.017       51 20.51       14 52.07
2014 Jun 28 12:50:00.0         164.91       0.017       51 03.13       14 52.27
2014 Jun 28 12:55:00.0         164.88       0.017       50 44.92       14 52.47
2014 Jun 28 13:00:00.0         164.85       0.017       50 25.89       14 52.67
2014 Jun 28 13:05:00.0         164.82       0.017       50 06.04       14 52.87
2014 Jun 28 13:10:00.0         164.79       0.018       49 45.37       14 53.07
2014 Jun 28 13:15:00.0         164.76       0.018       49 23.90       14 53.26
2014 Jun 28 13:20:00.0         164.73       0.018       49 01.63       14 53.46
2014 Jun 28 13:25:00.0         164.70       0.018       48 38.57       14 53.65
2014 Jun 28 13:30:00.0         164.67       0.018       48 14.74       14 53.84
2014 Jun 28 13:35:00.0         164.64       0.018       47 50.13       14 54.03
2014 Jun 28 13:40:00.0         164.61       0.018       47 24.77       14 54.22
2014 Jun 28 13:45:00.0         164.58       0.018       46 58.66       14 54.41
2014 Jun 28 13:50:00.0         164.55       0.018       46 31.83       14 54.59
2014 Jun 28 13:55:00.0         164.52       0.018       46 04.27       14 54.78
2014 Jun 28 14:00:00.0         164.49       0.018       45 36.01       14 54.96
2014 Jun 28 14:05:00.0         164.47       0.018       45 07.07       14 55.13
2014 Jun 28 14:10:00.0         164.44       0.018       44 37.47       14 55.31
2014 Jun 28 14:15:00.0         164.41       0.018       44 07.21       14 55.48
2014 Jun 28 14:20:00.0         164.38       0.018       43 36.32       14 55.66
2014 Jun 28 14:25:00.0         164.36       0.019       43 04.83       14 55.82
2014 Jun 28 14:30:00.0         164.33       0.019       42 32.75       14 55.99
2014 Jun 28 14:35:00.0         164.30       0.019       42 00.11       14 56.15
2014 Jun 28 14:40:00.0         164.28       0.019       41 26.94       14 56.31
2014 Jun 28 14:45:00.0         164.25       0.019       40 53.26       14 56.47
2014 Jun 28 14:50:00.0         164.22       0.019       40 19.09       14 56.63
2014 Jun 28 14:55:00.0         164.20       0.019       39 44.48       14 56.78
2014 Jun 28 15:00:00.0         164.17       0.019       39 09.45       14 56.93
2014 Jun 28 15:05:00.0         164.15       0.019       38 34.03       14 57.07
2014 Jun 28 15:10:00.0         164.12       0.019       37 58.26       14 57.21
2014 Jun 28 15:15:00.0         164.09       0.019       37 22.17       14 57.35
2014 Jun 28 15:20:00.0         164.07       0.019       36 45.82       14 57.49
2014 Jun 28 15:25:00.0         164.04       0.019       36 09.23       14 57.62
2014 Jun 28 15:30:00.0         164.02       0.019       35 32.46       14 57.75
2014 Jun 28 15:35:00.0         163.99       0.019       34 55.54       14 57.87
2014 Jun 28 15:40:00.0         163.97       0.019       34 18.54       14 57.99
2014 Jun 28 15:45:00.0         163.94       0.020       33 41.50       14 58.11
2014 Jun 28 15:50:00.0         163.92       0.020       33 04.47       14 58.22
2014 Jun 28 15:55:00.0         163.90       0.020       32 27.53       14 58.33
2014 Jun 28 16:00:00.0         163.87       0.020       31 50.72       14 58.43
2014 Jun 28 16:05:00.0         163.85       0.020       31 14.12       14 58.54
2014 Jun 28 16:10:00.0         163.82       0.020       30 37.79       14 58.63
2014 Jun 28 16:15:00.0         163.80       0.020       30 01.82       14 58.73
2014 Jun 28 16:20:00.0         163.78       0.020       29 26.28       14 58.81
2014 Jun 28 16:25:00.0         163.75       0.020       28 51.25       14 58.90
2014 Jun 28 16:30:00.0         163.73       0.020       28 16.82       14 58.98
2014 Jun 28 16:35:00.0         163.70       0.020       27 43.08       14 59.05
2014 Jun 28 16:40:00.0         163.68       0.020       27 10.14       14 59.13
2014 Jun 28 16:45:00.0         163.66       0.020       26 38.09       14 59.19
2014 Jun 28 16:50:00.0         163.63       0.020       26 07.04       14 59.26
2014 Jun 28 16:55:00.0         163.61       0.020       25 37.10       14 59.31
2014 Jun 28 17:00:00.0         163.59       0.020       25 08.38       14 59.37
2014 Jun 28 17:05:00.0         163.56       0.020       24 41.01       14 59.42
2014 Jun 28 17:10:00.0         163.54       0.020       24 15.10       14 59.46
2014 Jun 28 17:15:00.0         163.52       0.021       23 50.77       14 59.50
2014 Jun 28 17:20:00.0         163.49       0.021       23 28.15       14 59.54
2014 Jun 28 17:25:00.0         163.47       0.021       23 07.36       14 59.57
2014 Jun 28 17:30:00.0         163.45       0.021       22 48.51       14 59.59
2014 Jun 28 17:35:00.0         163.42       0.021       22 31.72       14 59.61
2014 Jun 28 17:40:00.0         163.40       0.021       22 17.08       14 59.63
2014 Jun 28 17:45:00.0         163.38       0.021       22 04.70       14 59.64
2014 Jun 28 17:50:00.0         163.36       0.021       21 54.66       14 59.65
2014 Jun 28 17:55:00.0         163.33       0.021       21 47.03       14 59.65
2014 Jun 28 18:00:00.0         163.31       0.021       21 41.87       14 59.65
2014 Jun 28 18:05:00.0         163.29       0.021       21 39.20       14 59.64
2014 Jun 28 18:10:00.0         163.26       0.021       21 39.06       14 59.63
2014 Jun 28 18:15:00.0         163.24       0.021       21 41.44       14 59.61
2014 Jun 28 18:20:00.0         163.22       0.021       21 46.32       14 59.59
2014 Jun 28 18:25:00.0         163.19       0.021       21 53.67       14 59.56
2014 Jun 28 18:30:00.0         163.17       0.021       22 03.45       14 59.53
2014 Jun 28 18:35:00.0         163.14       0.021       22 15.57       14 59.49
2014 Jun 28 18:40:00.0         163.12       0.022       22 29.96       14 59.45
2014 Jun 28 18:45:00.0         163.10       0.022       22 46.52       14 59.41
2014 Jun 28 18:50:00.0         163.07       0.022       23 05.15       14 59.36
2014 Jun 28 18:55:00.0         163.05       0.022       23 25.74       14 59.30
2014 Jun 28 19:00:00.0         163.03       0.022       23 48.18       14 59.24
2014 Jun 28 19:05:00.0         163.00       0.022       24 12.34       14 59.18
2014 Jun 28 19:10:00.0         162.98       0.022       24 38.09       14 59.11
2014 Jun 28 19:15:00.0         162.95       0.022       25 05.33       14 59.03
2014 Jun 28 19:20:00.0         162.93       0.022       25 33.93       14 58.96
2014 Jun 28 19:25:00.0         162.90       0.022       26 03.77       14 58.87
2014 Jun 28 19:30:00.0         162.88       0.022       26 34.74       14 58.79
2014 Jun 28 19:35:00.0         162.85       0.022       27 06.72       14 58.69
2014 Jun 28 19:40:00.0         162.83       0.022       27 39.60       14 58.60
2014 Jun 28 19:45:00.0         162.80       0.022       28 13.30       14 58.50
2014 Jun 28 19:50:00.0         162.78       0.022       28 47.69       14 58.39
2014 Jun 28 19:55:00.0         162.75       0.022       29 22.71       14 58.28
2014 Jun 28 20:00:00.0         162.73       0.023       29 58.24       14 58.17
2014 Jun 28 20:05:00.0         162.70       0.023       30 34.22       14 58.05
2014 Jun 28 20:10:00.0         162.68       0.023       31 10.56       14 57.93
2014 Jun 28 20:15:00.0         162.65       0.023       31 47.18       14 57.80
2014 Jun 28 20:20:00.0         162.62       0.023       32 24.02       14 57.67
2014 Jun 28 20:25:00.0         162.60       0.023       33 01.01       14 57.54
2014 Jun 28 20:30:00.0         162.57       0.023       33 38.08       14 57.40
2014 Jun 28 20:35:00.0         162.54       0.023       34 15.17       14 57.26
2014 Jun 28 20:40:00.0         162.52       0.023       34 52.23       14 57.11
2014 Jun 28 20:45:00.0         162.49       0.023       35 29.21       14 56.96
2014 Jun 28 20:50:00.0         162.46       0.023       36 06.05       14 56.81
2014 Jun 28 20:55:00.0         162.43       0.023       36 42.71       14 56.65
2014 Jun 28 21:00:00.0         162.40       0.023       37 19.14       14 56.49
2014 Jun 28 21:05:00.0         162.38       0.023       37 55.30       14 56.33
2014 Jun 28 21:10:00.0         162.35       0.024       38 31.15       14 56.16
2014 Jun 28 21:15:00.0         162.32       0.024       39 06.65       14 55.99
2014 Jun 28 21:20:00.0         162.29       0.024       39 41.77       14 55.82
2014 Jun 28 21:25:00.0         162.26       0.024       40 16.46       14 55.64
2014 Jun 28 21:30:00.0         162.23       0.024       40 50.71       14 55.46
2014 Jun 28 21:35:00.0         162.20       0.024       41 24.47       14 55.28
2014 Jun 28 21:40:00.0         162.17       0.024       41 57.73       14 55.09
2014 Jun 28 21:45:00.0         162.14       0.024       42 30.44       14 54.90
2014 Jun 28 21:50:00.0         162.11       0.024       43 02.60       14 54.71
2014 Jun 28 21:55:00.0         162.08       0.024       43 34.16       14 54.52
2014 Jun 28 22:00:00.0         162.05       0.024       44 05.11       14 54.32
2014 Jun 28 22:05:00.0         162.02       0.024       44 35.44       14 54.12
2014 Jun 28 22:10:00.0         161.99       0.025       45 05.10       14 53.92
2014 Jun 28 22:15:00.0         161.96       0.025       45 34.10       14 53.71
2014 Jun 28 22:20:00.0         161.92       0.025       46 02.41       14 53.51
2014 Jun 28 22:25:00.0         161.89       0.025       46 30.01       14 53.30
