                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 AU
2014 Jun 28 17:40:00.0      18.34489       207.12007       1.016564948
2014 Jun 28 17:45:00.0      18.80632       210.42176       1.016565160
2014 Jun 28 17:50:00.0      19.31430       213.57609       1.016565387
2014 Jun 28 17:55:00.0      19.86520       216.58185       1.016565627
2014 Jun 28 18:00:00.0      20.45548       219.44048       1.016565881
2014 Jun 28 18:05:00.0      21.08175       222.15551       1.016566149
2014 Jun 28 18:10:00.0      21.74082       224.73199       1.016566431
2014 Jun 28 18:15:00.0      22.42971       227.17607       1.016566726
2014 Jun 28 18:20:00.0      23.14568       229.49457       1.016567035
2014 Jun 28 18:25:00.0      23.88619       231.69470       1.016567357
2014 Jun 28 18:30:00.0      24.64893       233.78377       1.016567693
2014 Jun 28 18:35:00.0      25.43180       235.76904       1.016568042
2014 Jun 28 18:40:00.0      26.23289       237.65760       1.016568404
2014 Jun 28 18:45:00.0      27.05047       239.45623       1.016568779
2014 Jun 28 18:50:00.0      27.88299       241.17140       1.016569167
2014 Jun 28 18:55:00.0      28.72902       242.80920       1.016569567
2014 Jun 28 19:00:00.0      29.58730       244.37533       1.016569981
2014 Jun 28 19:05:00.0      30.45666       245.87512       1.016570406
2014 Jun 28 19:10:00.0      31.33607       247.31351       1.016570844
2014 Jun 28 19:15:00.0      32.22457       248.69507       1.016571295
2014 Jun 28 19:20:00.0      33.12131       250.02406       1.016571757
2014 Jun 28 19:25:00.0      34.02550       251.30438       1.016572231
2014 Jun 28 19:30:00.0      34.93643       252.53965       1.016572716
2014 Jun 28 19:35:00.0      35.85345       253.73319       1.016573213
2014 Jun 28 19:40:00.0      36.77598       254.88809       1.016573721
2014 Jun 28 19:45:00.0      37.70347       256.00717       1.016574241
2014 Jun 28 19:50:00.0      38.63541       257.09305       1.016574771
2014 Jun 28 19:55:00.0      39.57135       258.14814       1.016575311
2014 Jun 28 20:00:00.0      40.51086       259.17469       1.016575863
2014 Jun 28 20:05:00.0      41.45356       260.17474       1.016576424
2014 Jun 28 20:10:00.0      42.39908       261.15022       1.016576995
2014 Jun 28 20:15:00.0      43.34708       262.10290       1.016577577
2014 Jun 28 20:20:00.0      44.29724       263.03441       1.016578167
2014 Jun 28 20:25:00.0      45.24927       263.94628       1.016578768
2014 Jun 28 20:30:00.0      46.20290       264.83994       1.016579377
2014 Jun 28 20:35:00.0      47.15785       265.71671       1.016579995
2014 Jun 28 20:40:00.0      48.11390       266.57782       1.016580621
2014 Jun 28 20:45:00.0      49.07079       267.42442       1.016581256
2014 Jun 28 20:50:00.0      50.02832       268.25759       1.016581899
2014 Jun 28 20:55:00.0      50.98626       269.07835       1.016582550
2014 Jun 28 21:00:00.0      51.94443       269.88764       1.016583209
2014 Jun 28 21:05:00.0      52.90262       270.68635       1.016583875
2014 Jun 28 21:10:00.0      53.86065       271.47533       1.016584547
2014 Jun 28 21:15:00.0      54.81835       272.25536       1.016585227
2014 Jun 28 21:20:00.0      55.77553       273.02720       1.016585913
2014 Jun 28 21:25:00.0      56.73204       273.79154       1.016586605
2014 Jun 28 21:30:00.0      57.68770       274.54907       1.016587303
2014 Jun 28 21:35:00.0      58.64237       275.30042       1.016588007
2014 Jun 28 21:40:00.0      59.59588       276.04619       1.016588716
2014 Jun 28 21:45:00.0      60.54808       276.78697       1.016589431
2014 Jun 28 21:50:00.0      61.49882       277.52330       1.016590150
2014 Jun 28 21:55:00.0      62.44795       278.25571       1.016590873
2014 Jun 28 22:00:00.0      63.39533       278.98472       1.016591601
2014 Jun 28 22:05:00.0      64.34081       279.71079       1.016592333
2014 Jun 28 22:10:00.0      65.28424       280.43441       1.016593068
2014 Jun 28 22:15:00.0      66.22549       281.15601       1.016593806
2014 Jun 28 22:20:00.0      67.16440       281.87604       1.016594548
2014 Jun 28 22:25:00.0      68.10084       282.59491       1.016595292
2014 Jun 28 22:30:00.0      69.03466       283.31303       1.016596038
2014 Jun 28 22:35:00.0      69.96572       284.03079       1.016596786
2014 Jun 28 22:40:00.0      70.89386       284.74857       1.016597537
2014 Jun 28 22:45:00.0      71.81895       285.46675       1.016598288
2014 Jun 28 22:50:00.0      72.74083       286.18569       1.016599041
2014 Jun 28 22:55:00.0      73.65936       286.90574       1.016599795
2014 Jun 28 23:00:00.0      74.57439       287.62726       1.016600549
2014 Jun 28 23:05:00.0      75.48576       288.35057       1.016601303
2014 Jun 28 23:10:00.0      76.39332       289.07602       1.016602057
2014 Jun 28 23:15:00.0      77.29690       289.80392       1.016602811
2014 Jun 28 23:20:00.0      78.19635       290.53461       1.016603564
2014 Jun 28 23:25:00.0      79.09151       291.26840       1.016604316
2014 Jun 28 23:30:00.0      79.98221       292.00559       1.016605066
2014 Jun 28 23:35:00.0      80.86828       292.74650       1.016605815
2014 Jun 28 23:40:00.0      81.74954       293.49144       1.016606562
2014 Jun 28 23:45:00.0      82.62582       294.24069       1.016607307
2014 Jun 28 23:50:00.0      83.49695       294.99455       1.016608049
2014 Jun 28 23:55:00.0      84.36273       295.75333       1.016608788
2014 Jun 29 00:00:00.0      85.22298       296.51731       1.016609524
2014 Jun 29 00:05:00.0      86.07751       297.28677       1.016610256
2014 Jun 29 00:10:00.0      86.92612       298.06201       1.016610984
2014 Jun 29 00:15:00.0      87.76860       298.84330       1.016611709
2014 Jun 29 00:20:00.0      88.60476       299.63093       1.016612429
2014 Jun 29 00:25:00.0      89.43438       300.42517       1.016613144
2014 Jun 29 00:30:00.0      90.25724       301.22629       1.016613854
2014 Jun 29 00:35:00.0      91.07313       302.03456       1.016614559
2014 Jun 29 00:40:00.0      91.88182       302.85027       1.016615258
2014 Jun 29 00:45:00.0      92.68308       303.67365       1.016615952
2014 Jun 29 00:50:00.0      93.47666       304.50499       1.016616639
2014 Jun 29 00:55:00.0      94.26233       305.34454       1.016617320
2014 Jun 29 01:00:00.0      95.03984       306.19254       1.016617994
2014 Jun 29 01:05:00.0      95.80894       307.04926       1.016618661
2014 Jun 29 01:10:00.0      96.56936       307.91493       1.016619321
2014 Jun 29 01:15:00.0      97.32084       308.78980       1.016619973
2014 Jun 29 01:20:00.0      98.06310       309.67409       1.016620617
2014 Jun 29 01:25:00.0      98.79587       310.56803       1.016621254
2014 Jun 29 01:30:00.0      99.51887       311.47185       1.016621882
2014 Jun 29 01:35:00.0     100.23181       312.38575       1.016622501
2014 Jun 29 01:40:00.0     100.93438       313.30994       1.016623112
2014 Jun 29 01:45:00.0     101.62630       314.24461       1.016623714
2014 Jun 29 01:50:00.0     102.30725       315.18995       1.016624306
2014 Jun 29 01:55:00.0     102.97692       316.14612       1.016624889
2014 Jun 29 02:00:00.0     103.63500       317.11329       1.016625462
2014 Jun 29 02:05:00.0     104.28116       318.09161       1.016626025
2014 Jun 29 02:10:00.0     104.91507       319.08120       1.016626577
2014 Jun 29 02:15:00.0     105.53642       320.08220       1.016627120
2014 Jun 29 02:20:00.0     106.14485       321.09469       1.016627651
2014 Jun 29 02:25:00.0     106.74003       322.11877       1.016628172
2014 Jun 29 02:30:00.0     107.32162       323.15449       1.016628682
2014 Jun 29 02:35:00.0     107.88927       324.20191       1.016629180
2014 Jun 29 02:40:00.0     108.44264       325.26105       1.016629667
2014 Jun 29 02:45:00.0     108.98137       326.33191       1.016630143
2014 Jun 29 02:50:00.0     109.50512       327.41448       1.016630606
2014 Jun 29 02:55:00.0     110.01354       328.50870       1.016631058
2014 Jun 29 03:00:00.0     110.50628       329.61451       1.016631497
2014 Jun 29 03:05:00.0     110.98298       330.73180       1.016631924
2014 Jun 29 03:10:00.0     111.44330       331.86045       1.016632339
2014 Jun 29 03:15:00.0     111.88690       333.00031       1.016632741
2014 Jun 29 03:20:00.0     112.31343       334.15120       1.016633130
2014 Jun 29 03:25:00.0     112.72256       335.31289       1.016633506
2014 Jun 29 03:30:00.0     113.11397       336.48514       1.016633869
2014 Jun 29 03:35:00.0     113.48732       337.66768       1.016634219
2014 Jun 29 03:40:00.0     113.84231       338.86019       1.016634556
2014 Jun 29 03:45:00.0     114.17862       340.06234       1.016634879
2014 Jun 29 03:50:00.0     114.49597       341.27375       1.016635189
2014 Jun 29 03:55:00.0     114.79406       342.49402       1.016635485
2014 Jun 29 04:00:00.0     115.07262       343.72272       1.016635767
2014 Jun 29 04:05:00.0     115.33140       344.95938       1.016636036
2014 Jun 29 04:10:00.0     115.57015       346.20351       1.016636290
2014 Jun 29 04:15:00.0     115.78864       347.45458       1.016636531
2014 Jun 29 04:20:00.0     115.98665       348.71205       1.016636757
2014 Jun 29 04:25:00.0     116.16401       349.97534       1.016636970
2014 Jun 29 04:30:00.0     116.32051       351.24386       1.016637168
2014 Jun 29 04:35:00.0     116.45602       352.51698       1.016637352
2014 Jun 29 04:40:00.0     116.57038       353.79407       1.016637522
2014 Jun 29 04:45:00.0     116.66349       355.07447       1.016637677
2014 Jun 29 04:50:00.0     116.73524       356.35752       1.016637819
2014 Jun 29 04:55:00.0     116.78557       357.64254       1.016637945
2014 Jun 29 05:00:00.0     116.81442       358.92884       1.016638058
2014 Jun 29 05:05:00.0     116.82175         0.21573       1.016638156
2014 Jun 29 05:10:00.0     116.80757         1.50251       1.016638240
2014 Jun 29 05:15:00.0     116.77189         2.78848       1.016638309
2014 Jun 29 05:20:00.0     116.71474         4.07296       1.016638364
2014 Jun 29 05:25:00.0     116.63619         5.35525       1.016638404
2014 Jun 29 05:30:00.0     116.53631         6.63469       1.016638431
2014 Jun 29 05:35:00.0     116.41521         7.91061       1.016638442
2014 Jun 29 05:40:00.0     116.27301         9.18236       1.016638440
2014 Jun 29 05:45:00.0     116.10985        10.44930       1.016638424
2014 Jun 29 05:50:00.0     115.92591        11.71084       1.016638393
2014 Jun 29 05:55:00.0     115.72136        12.96637       1.016638348
2014 Jun 29 06:00:00.0     115.49640        14.21533       1.016638289
2014 Jun 29 06:05:00.0     115.25126        15.45718       1.016638217
2014 Jun 29 06:10:00.0     114.98616        16.69140       1.016638130
2014 Jun 29 06:15:00.0     114.70136        17.91752       1.016638030
2014 Jun 29 06:20:00.0     114.39711        19.13507       1.016637916
2014 Jun 29 06:25:00.0     114.07370        20.34364       1.016637788
2014 Jun 29 06:30:00.0     113.73142        21.54282       1.016637647
2014 Jun 29 06:35:00.0     113.37056        22.73226       1.016637492
2014 Jun 29 06:40:00.0     112.99143        23.91163       1.016637324
2014 Jun 29 06:45:00.0     112.59435        25.08062       1.016637143
2014 Jun 29 06:50:00.0     112.17965        26.23897       1.016636949
