                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 AU
2014 Jun 29 05:05:00.0     115.07118       357.55095       1.016636989
2014 Jun 29 05:10:00.0     115.10095       358.81864       1.016637102
2014 Jun 29 05:15:00.0     115.11005         0.08692       1.016637201
2014 Jun 29 05:20:00.0     115.09848         1.35517       1.016637287
2014 Jun 29 05:25:00.0     115.06626         2.62275       1.016637358
2014 Jun 29 05:30:00.0     115.01342         3.88906       1.016637415
2014 Jun 29 05:35:00.0     114.94000         5.15346       1.016637458
2014 Jun 29 05:40:00.0     114.84609         6.41536       1.016637487
2014 Jun 29 05:45:00.0     114.73176         7.67415       1.016637502
2014 Jun 29 05:50:00.0     114.59714         8.92925       1.016637504
2014 Jun 29 05:55:00.0     114.44234        10.18009       1.016637491
2014 Jun 29 06:00:00.0     114.26752        11.42611       1.016637465
2014 Jun 29 06:05:00.0     114.07284        12.66677       1.016637425
2014 Jun 29 06:10:00.0     113.85848        13.90156       1.016637371
2014 Jun 29 06:15:00.0     113.62464        15.12998       1.016637304
2014 Jun 29 06:20:00.0     113.37153        16.35157       1.016637223
2014 Jun 29 06:25:00.0     113.09937        17.56587       1.016637128
2014 Jun 29 06:30:00.0     112.80841        18.77247       1.016637021
2014 Jun 29 06:35:00.0     112.49889        19.97097       1.016636900
2014 Jun 29 06:40:00.0     112.17108        21.16101       1.016636765
2014 Jun 29 06:45:00.0     111.82525        22.34223       1.016636618
2014 Jun 29 06:50:00.0     111.46169        23.51435       1.016636458
2014 Jun 29 06:55:00.0     111.08068        24.67705       1.016636285
2014 Jun 29 07:00:00.0     110.68253        25.83010       1.016636099
2014 Jun 29 07:05:00.0     110.26753        26.97327       1.016635901
2014 Jun 29 07:10:00.0     109.83601        28.10634       1.016635690
2014 Jun 29 07:15:00.0     109.38827        29.22916       1.016635467
2014 Jun 29 07:20:00.0     108.92463        30.34157       1.016635232
2014 Jun 29 07:25:00.0     108.44543        31.44345       1.016634985
2014 Jun 29 07:30:00.0     107.95097        32.53470       1.016634726
2014 Jun 29 07:35:00.0     107.44160        33.61525       1.016634455
2014 Jun 29 07:40:00.0     106.91764        34.68505       1.016634173
2014 Jun 29 07:45:00.0     106.37941        35.74409       1.016633879
2014 Jun 29 07:50:00.0     105.82724        36.79234       1.016633575
2014 Jun 29 07:55:00.0     105.26147        37.82983       1.016633259
2014 Jun 29 08:00:00.0     104.68240        38.85659       1.016632933
2014 Jun 29 08:05:00.0     104.09038        39.87268       1.016632596
