                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 29 00:05:00.0      77.90381       280.21776        403191.871
2014 Jun 29 00:10:00.0      78.82388       280.95160        403296.995
2014 Jun 29 00:15:00.0      79.74148       281.68591        403402.184
2014 Jun 29 00:20:00.0      80.65646       282.42108        403507.393
2014 Jun 29 00:25:00.0      81.56868       283.15745        403612.578
2014 Jun 29 00:30:00.0      82.47797       283.89539        403717.695
2014 Jun 29 00:35:00.0      83.38419       284.63523        403822.699
2014 Jun 29 00:40:00.0      84.28717       285.37734        403927.546
2014 Jun 29 00:45:00.0      85.18677       286.12204        404032.190
2014 Jun 29 00:50:00.0      86.08282       286.86968        404136.589
2014 Jun 29 00:55:00.0      86.97516       287.62060        404240.699
2014 Jun 29 01:00:00.0      87.86362       288.37513        404344.474
2014 Jun 29 01:05:00.0      88.74803       289.13361        404447.872
2014 Jun 29 01:10:00.0      89.62823       289.89637        404550.849
2014 Jun 29 01:15:00.0      90.50403       290.66374        404653.362
2014 Jun 29 01:20:00.0      91.37527       291.43605        404755.367
2014 Jun 29 01:25:00.0      92.24175       292.21363        404856.822
2014 Jun 29 01:30:00.0      93.10329       292.99681        404957.684
2014 Jun 29 01:35:00.0      93.95970       293.78591        405057.912
2014 Jun 29 01:40:00.0      94.81078       294.58127        405157.462
2014 Jun 29 01:45:00.0      95.65633       295.38322        405256.294
2014 Jun 29 01:50:00.0      96.49615       296.19208        405354.365
2014 Jun 29 01:55:00.0      97.33003       297.00817        405451.636
2014 Jun 29 02:00:00.0      98.15774       297.83183        405548.065
2014 Jun 29 02:05:00.0      98.97908       298.66339        405643.613
2014 Jun 29 02:10:00.0      99.79380       299.50317        405738.238
2014 Jun 29 02:15:00.0     100.60167       300.35149        405831.903
2014 Jun 29 02:20:00.0     101.40247       301.20868        405924.569
2014 Jun 29 02:25:00.0     102.19593       302.07507        406016.196
2014 Jun 29 02:30:00.0     102.98180       302.95097        406106.746
2014 Jun 29 02:35:00.0     103.75983       303.83672        406196.183
2014 Jun 29 02:40:00.0     104.52975       304.73261        406284.469
2014 Jun 29 02:45:00.0     105.29128       305.63898        406371.568
2014 Jun 29 02:50:00.0     106.04415       306.55613        406457.443
2014 Jun 29 02:55:00.0     106.78805       307.48436        406542.060
2014 Jun 29 03:00:00.0     107.52271       308.42398        406625.384
2014 Jun 29 03:05:00.0     108.24780       309.37529        406707.380
2014 Jun 29 03:10:00.0     108.96303       310.33856        406788.014
