                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 28 17:25:00.0      27.88341       151.80783        398496.144
2014 Jun 28 17:30:00.0      27.47327       154.18203        398480.822
2014 Jun 28 17:35:00.0      27.09783       156.61479        398467.516
2014 Jun 28 17:40:00.0      26.75862       159.10310        398456.235
2014 Jun 28 17:45:00.0      26.45707       161.64315        398446.987
2014 Jun 28 17:50:00.0      26.19454       164.23037        398439.781
2014 Jun 28 17:55:00.0      25.97225       166.85939        398434.622
2014 Jun 28 18:00:00.0      25.79129       169.52409        398431.515
2014 Jun 28 18:05:00.0      25.65256       172.21771        398430.465
2014 Jun 28 18:10:00.0      25.55677       174.93292        398431.475
2014 Jun 28 18:15:00.0      25.50444       177.66196        398434.548
2014 Jun 28 18:20:00.0      25.49583       180.39679        398439.685
2014 Jun 28 18:25:00.0      25.53102       183.12925        398446.887
2014 Jun 28 18:30:00.0      25.60981       185.85122        398456.154
2014 Jun 28 18:35:00.0      25.73181       188.55479        398467.484
2014 Jun 28 18:40:00.0      25.89639       191.23245        398480.874
2014 Jun 28 18:45:00.0      26.10275       193.87716        398496.322
2014 Jun 28 18:50:00.0      26.34987       196.48253        398513.824
2014 Jun 28 18:55:00.0      26.63660       199.04287        398533.374
2014 Jun 28 19:00:00.0      26.96165       201.55325        398554.965
2014 Jun 28 19:05:00.0      27.32361       204.00953        398578.592
2014 Jun 28 19:10:00.0      27.72099       206.40838        398604.246
2014 Jun 28 19:15:00.0      28.15226       208.74722        398631.918
2014 Jun 28 19:20:00.0      28.61583       211.02421        398661.598
2014 Jun 28 19:25:00.0      29.11011       213.23820        398693.276
2014 Jun 28 19:30:00.0      29.63350       215.38864        398726.939
2014 Jun 28 19:35:00.0      30.18442       217.47552        398762.576
2014 Jun 28 19:40:00.0      30.76133       219.49932        398800.172
2014 Jun 28 19:45:00.0      31.36273       221.46091        398839.712
2014 Jun 28 19:50:00.0      31.98716       223.36150        398881.183
2014 Jun 28 19:55:00.0      32.63322       225.20255        398924.567
2014 Jun 28 20:00:00.0      33.29957       226.98578        398969.848
2014 Jun 28 20:05:00.0      33.98494       228.71302        399017.006
2014 Jun 28 20:10:00.0      34.68812       230.38625        399066.025
2014 Jun 28 20:15:00.0      35.40794       232.00752        399116.882
